% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
0.5785	1	0	4	4	57	9	1	1	1	15	1	0	13	699
0.5845	1	0	5	5	58	5	1	1	1	15	1	0	11	538
0.5865	1	0	8	8	58	7	1	1	1	15	1	0	11	538
0.6055	1	0	6	6	60	6	1	1	2	15	1	0	0	172
0.6065	1	0	7	7	60	7	1	1	1	15	1	0	22	1423
0.6085	1	0	1	1	60	9	1	1	1	15	1	0	26	1862
0.6205	1	0	10	10	62	1	1	1	2	15	1	0	0	172
0.6275	1	0	2	2	62	8	1	1	1	15	1	0	26	1862
0.6305	1	0	9	9	63	1	1	1	1	15	1	0	11	538
0.6325	1	0	4	4	63	3	1	1	1	15	1	0	22	1423
0.6335	1	0	3	3	63	4	1	1	1	15	1	0	8	428
0.6435	1	0	5	5	64	4	1	1	1	15	1	0	11	538
0.6585	1	0	8	8	65	9	1	1	1	15	1	0	18	1006
0.6585	1	0	1	1	65	9	1	2	1	15	1	0	26	1862
0.6685	1	0	7	7	66	9	1	1	1	15	1	0	24	1642
0.6685	1	0	6	6	66	9	1	2	4	15	1	0	0	348
0.6815	1	0	2	2	68	2	1	1	1	15	1	0	26	1862
0.6845	1	0	9	9	68	5	1	1	1	15	1	0	8	428
0.6845	1	0	4	4	68	5	1	2	1	15	1	0	28	2037
0.6875	1	0	3	3	68	8	1	1	1	15	1	0	20	1203
0.6905	1	0	10	10	69	1	1	1	3	15	1	0	0	260
0.7005	1	0	5	5	70	1	1	1	1	15	1	0	8	428
0.7125	1	0	8	8	71	3	1	1	1	15	1	0	18	1006
0.7295	1	0	7	7	73	0	1	1	1	15	1	0	8	428
0.7325	1	0	1	1	73	3	1	1	1	15	1	0	26	1862
0.7345	1	0	2	2	73	5	1	1	1	15	1	0	26	1862
0.7395	1	0	6	6	74	0	1	1	3	15	1	0	0	260
0.7415	1	0	4	4	74	2	1	1	1	15	1	0	24	1642
0.7455	1	0	9	9	74	6	1	1	2	15	1	0	0	172
0.7475	1	0	3	3	74	8	1	1	1	15	1	0	26	1862
0.7565	1	0	5	5	75	7	1	1	1	15	1	0	11	538
0.7605	1	0	10	10	76	1	1	1	4	15	1	0	0	348
0.7835	1	0	8	8	78	4	1	1	1	15	1	0	15	874
0.7835	1	0	2	2	78	4	1	2	1	15	1	0	26	1862
0.7855	1	0	7	7	78	6	1	1	1	15	1	0	15	874
0.789	1	0	6	6	79	0	0	1	2	15	1	0	0	172
0.7965	1	0	4	4	79	7	1	1	1	15	1	0	28	2037
0.7965	1	0	1	1	79	7	1	2	1	15	1	0	28	2037
0.8055	1	0	9	9	80	6	1	1	1	15	1	0	4	216
0.8085	1	0	5	5	80	9	1	1	1	15	1	0	13	699
0.8115	1	0	10	10	81	2	1	1	2	15	1	0	0	172
0.8185	1	0	3	3	81	9	1	1	1	15	1	0	26	1862
0.8455	1	0	1	1	84	6	1	1	1	15	1	0	26	1862
0.8485	1	0	7	7	84	9	1	1	1	15	1	0	20	1203
0.8495	1	0	4	4	85	0	1	1	1	15	1	0	28	2037
0.8575	1	0	8	8	85	8	1	1	1	15	1	0	13	699
0.8595	1	0	6	6	86	0	1	1	2	15	1	0	0	172
0.8615	1	0	10	10	86	2	1	1	2	15	1	0	0	172
0.867	1	0	2	2	86	8	0	1	1	15	1	0	26	1862
0.8685	1	0	5	5	86	9	1	1	1	15	1	0	13	699
0.8685	1	0	3	3	86	9	1	2	1	15	1	0	24	1642
0.8865	1	0	9	9	88	7	1	1	1	15	1	0	6	318
0.8995	1	0	7	7	90	0	1	1	1	15	1	0	15	874
0.9005	1	0	1	1	90	1	1	1	1	15	1	0	26	1862
0.9155	1	0	8	8	91	6	1	1	1	15	1	0	11	538
0.9175	1	0	4	4	91	8	1	1	1	15	1	0	28	2037
0.9205	1	0	10	10	92	1	1	1	3	15	1	0	0	260
0.9205	1	0	6	6	92	1	1	4	2	15	1	0	2	274
0.9215	1	0	5	5	92	2	1	1	1	15	1	0	6	318
0.9215	1	0	2	2	92	2	1	2	1	15	1	0	26	1862
0.9305	1	0	3	3	93	1	1	1	1	15	1	0	18	1006
0.9465	1	0	9	9	94	7	1	1	1	15	1	0	8	428
0.9515	1	0	7	7	95	2	1	1	1	15	1	0	8	428
0.9615	1	0	1	1	96	2	1	1	1	15	1	0	26	1862
0.9675	1	0	8	8	96	8	1	1	1	15	1	0	13	699
0.9705	1	0	5	5	97	1	1	1	1	15	1	0	13	699
0.9715	1	0	4	4	97	2	1	1	1	15	1	0	28	2037
0.9725	1	0	10	10	97	3	1	1	3	15	1	0	0	260
0.9795	1	0	2	2	98	0	1	1	1	15	1	0	26	1862
0.9845	1	0	6	6	98	5	1	1	3	15	1	0	0	260
0.9855	1	0	3	3	98	6	1	1	1	15	1	0	13	699
1.0085	1	0	9	9	100	9	1	1	2	15	1	0	6	640
1.0175	1	0	7	7	101	8	1	1	1	15	1	0	6	318
1.0185	1	0	1	1	101	9	1	1	1	15	1	0	26	1862
1.0275	1	0	8	8	102	8	1	1	1	15	1	0	13	699
1.0275	1	0	4	4	102	8	1	2	1	15	1	0	26	1862
1.0315	1	0	10	10	103	2	1	1	3	15	1	0	0	260
1.0335	1	0	5	5	103	4	1	1	1	15	1	0	15	874
1.0345	1	0	2	2	103	5	1	1	1	15	1	0	26	1862
1.0415	1	0	6	6	104	2	1	1	2	15	1	0	2	274
1.0655	1	0	3	3	106	6	1	1	1	15	1	0	6	318
1.0665	1	0	9	9	106	7	1	1	1	15	1	0	4	216
1.0665	1	0	7	7	106	7	1	2	1	15	1	0	13	699
1.0755	1	0	4	4	107	6	1	1	1	15	1	0	28	2037
1.0825	1	0	10	10	108	3	1	1	2	15	1	0	0	172
1.0835	1	0	2	2	108	4	1	1	1	15	1	0	26	1862
1.0895	1	0	5	5	109	0	1	1	1	15	1	0	11	538
1.0895	1	0	1	1	109	0	1	2	1	15	1	0	26	1862
1.0905	1	0	8	8	109	1	1	1	1	15	1	0	13	699
1.1045	1	0	6	6	110	5	1	1	1	15	1	0	4	216
1.1165	1	0	9	9	111	7	1	1	2	15	1	0	2	274
1.1195	1	0	7	7	112	0	1	1	1	15	1	0	13	699
1.1235	1	0	3	3	112	4	1	1	1	15	1	0	6	318
1.1365	1	0	4	4	113	7	1	1	1	15	1	0	22	1423
1.1395	1	0	10	10	114	0	1	1	2	15	1	0	4	435
1.1395	1	0	2	2	114	0	1	3	1	15	1	0	28	2037
1.1395	1	0	1	1	114	0	1	4	1	15	1	0	26	1862
1.1435	1	0	8	8	114	4	1	1	1	15	1	0	8	428
1.145	1	0	5	5	114	6	0	1	1	15	1	0	11	538
1.1685	1	0	6	6	116	9	1	1	1	15	1	0	4	216
1.1705	1	0	7	7	117	1	1	1	1	15	1	0	13	699
1.1765	1	0	3	3	117	7	1	1	1	15	1	0	6	318
1.1885	1	0	9	9	118	9	1	1	3	15	1	0	0	260
1.1915	1	0	10	10	119	2	1	1	2	15	1	0	6	640
1.1925	1	0	2	2	119	3	1	1	1	15	1	0	28	2037
1.2005	1	0	8	8	120	1	1	1	1	15	1	0	8	428
1.2025	1	0	4	4	120	3	1	1	1	15	1	0	28	2037
1.2035	1	0	5	5	120	4	1	1	1	15	1	0	11	538
1.2185	1	0	1	1	121	9	1	1	1	15	1	0	26	1862
1.2225	1	0	6	6	122	3	1	1	2	15	1	0	2	274
1.2315	1	0	3	3	123	2	1	1	1	15	1	0	18	1006
1.2425	1	0	7	7	124	3	1	1	1	15	1	0	13	699
1.2455	1	0	9	9	124	6	1	1	3	15	1	0	0	260
1.2455	1	0	2	2	124	6	1	4	1	15	1	0	28	2037
1.2535	1	0	4	4	125	4	1	1	1	15	1	0	26	1862
1.2645	1	0	5	5	126	5	1	1	1	15	1	0	8	428
1.2715	1	0	10	10	127	2	1	1	2	15	1	0	2	274
1.2735	1	0	8	8	127	4	1	1	1	15	1	0	6	318
1.2805	1	0	3	3	128	1	1	1	1	15	1	0	22	1423
1.2835	1	0	6	6	128	4	1	1	2	15	1	0	0	172
1.2875	1	0	1	1	128	8	1	1	1	15	1	0	26	1862
1.2925	1	0	7	7	129	3	1	1	1	15	1	0	11	538
1.298	1	0	9	9	129	9	0	1	3	15	1	0	0	260
1.3105	1	0	2	2	131	1	1	1	1	15	1	0	28	2037
1.3145	1	0	4	4	131	5	1	1	1	15	1	0	24	1642
1.3155	1	0	5	5	131	6	1	1	1	15	1	0	11	538
1.3255	1	0	10	10	132	6	1	1	1	15	1	0	2	135
1.3305	1	0	8	8	133	1	1	1	1	15	1	0	8	428
1.3395	1	0	6	6	134	0	1	1	3	15	1	0	0	260
1.3405	1	0	1	1	134	1	1	1	1	15	1	0	26	1862
1.345	1	0	7	7	134	6	0	1	1	15	1	0	8	428
1.3565	1	0	3	3	135	7	1	1	1	15	1	0	20	1203
1.3605	1	0	9	9	136	1	1	1	3	15	1	0	0	260
1.3605	1	0	2	2	136	1	1	4	1	15	1	0	28	2037
1.3625	1	0	4	4	136	3	1	1	1	15	1	0	28	2037
1.3795	1	0	10	10	138	0	1	1	1	15	1	0	6	318
1.3795	1	0	5	5	138	0	1	2	1	15	1	0	13	699
1.3865	1	0	8	8	138	7	1	1	1	15	1	0	6	318
1.3885	1	0	6	6	138	9	1	1	2	15	1	0	0	172
1.4015	1	0	7	7	140	2	1	1	1	15	1	0	6	318
1.4055	1	0	1	1	140	6	1	1	1	15	1	0	26	1862
1.4065	1	0	3	3	140	7	1	1	1	15	1	0	20	1203
1.4145	1	0	9	9	141	5	1	1	2	15	1	0	0	172
1.4165	1	0	4	4	141	7	1	1	1	15	1	0	26	1862
1.4175	1	0	2	2	141	8	1	1	1	15	1	0	24	1642
1.4375	1	0	10	10	143	8	1	1	1	15	1	0	6	318
1.4395	1	0	5	5	144	0	1	1	1	15	1	0	6	318
1.4465	1	0	8	8	144	7	1	1	1	15	1	0	4	216
1.4545	1	0	6	6	145	5	1	1	3	15	1	0	0	260
1.4575	1	0	1	1	145	8	1	1	1	15	1	0	26	1862
1.4635	1	0	7	7	146	4	1	1	1	15	1	0	4	216
1.4675	1	0	4	4	146	8	1	1	1	15	1	0	26	1862
1.4675	1	0	3	3	146	8	1	2	1	15	1	0	22	1423
1.4675	1	0	2	2	146	8	1	3	1	15	1	0	26	1862
1.4715	1	0	9	9	147	2	1	1	2	15	1	0	2	274
1.4885	1	0	10	10	148	9	1	1	1	15	1	0	2	135
1.4955	1	0	8	8	149	6	1	1	1	15	1	0	4	216
1.4985	1	0	5	5	149	9	1	1	1	15	1	0	8	428
1.5125	1	0	1	1	151	3	1	1	1	15	1	0	26	1862
1.5135	1	0	4	4	151	4	1	1	2	15	1	0	0	172
1.5155	1	0	6	6	151	6	1	1	2	15	1	0	0	172
1.5175	1	0	3	3	151	8	1	1	1	15	1	0	11	538
1.5185	1	0	2	2	151	9	1	1	1	15	1	0	26	1862
1.5195	1	0	7	7	152	0	1	1	2	15	1	0	4	435
1.5215	1	0	9	9	152	2	1	1	2	15	1	0	0	172
1.5465	1	0	10	10	154	7	1	1	1	15	1	0	8	428
1.5565	1	0	8	8	155	7	1	1	1	15	1	0	4	216
1.5595	1	0	5	5	156	0	1	1	1	15	1	0	11	538
1.5645	1	0	4	4	156	5	1	1	1	15	1	0	8	428
1.5685	1	0	3	3	156	9	1	1	1	15	1	0	20	1203
1.5695	1	0	1	1	157	0	1	1	1	15	1	0	26	1862
1.5735	1	0	6	6	157	4	1	1	3	15	1	0	0	260
1.5755	1	0	9	9	157	6	1	1	3	15	1	0	0	260
