Time	CellId	RNTI	BWPId	SINR(dB)
0.0626786	1	1	0	29.5865
0.0634643	1	4	0	2.76846
0.0635714	1	4	0	16.6448
0.0636071	1	3	0	8.12818
0.0636429	1	2	0	34.2954
0.0636786	1	1	0	29.6353
0.0645714	1	4	0	13.5958
0.0646071	1	3	0	8.13585
0.0646429	1	2	0	34.8684
0.0646786	1	1	0	29.6427
0.0654643	1	4	0	13.5078
0.0655714	1	4	0	15.7889
0.0656071	1	3	0	8.06666
0.0656429	1	2	0	35.0819
0.0656786	1	1	0	29.7363
0.0665714	1	4	0	15.7774
0.0666071	1	3	0	7.7025
0.0666429	1	2	0	35.0054
0.0666786	1	1	0	29.723
0.0674286	1	4	0	19.4227
0.0675714	1	4	0	16.0416
0.0676071	1	3	0	7.78683
0.0676429	1	2	0	34.9258
0.0676786	1	1	0	29.8126
0.0685714	1	4	0	12.9968
0.0686071	1	3	0	7.41514
0.0686429	1	2	0	34.1772
0.0686786	1	1	0	29.8059
0.0694643	1	4	0	8.33574
0.0695714	1	4	0	15.6397
0.0696071	1	3	0	7.52125
0.0696429	1	2	0	33.1582
0.0696786	1	1	0	29.8171
0.0705714	1	4	0	13.5305
0.0706071	1	3	0	7.82103
0.0706429	1	2	0	32.5353
0.0706786	1	1	0	29.8436
0.0714643	1	1	0	27.1142
0.0714643	1	4	0	-16.9617
0.0715714	1	4	0	16.8542
0.0716071	1	3	0	7.82577
0.0716429	1	2	0	32.3757
0.0716786	1	1	0	29.799
0.0725714	1	4	0	16.0032
0.0726071	1	3	0	7.90928
0.0726429	1	2	0	32.0561
0.0726786	1	1	0	29.7109
0.0734643	1	4	0	11.3304
0.0739643	1	4	0	17.1258
0.0741071	1	4	0	12.2302
0.0741429	1	3	0	7.66571
0.0741786	1	2	0	32.5494
0.0742143	1	1	0	29.5639
0.0745714	1	4	0	14.3566
0.0746071	1	3	0	7.65743
0.0746429	1	2	0	32.9929
0.0746786	1	1	0	29.5913
0.0754643	1	4	0	12.739
0.0755714	1	4	0	17.1312
0.0756071	1	3	0	7.39333
0.0756429	1	2	0	33.5401
0.0756786	1	1	0	29.5793
0.0769643	1	1	0	30.0399
0.0774286	1	4	0	12.677
0.0775714	1	4	0	17.6174
0.0776071	1	3	0	7.28294
0.0776429	1	2	0	33.8561
0.0776786	1	1	0	29.5367
0.0785714	1	4	0	15.2781
0.0786071	1	3	0	7.49473
0.0786429	1	2	0	33.8888
0.0786786	1	1	0	29.5766
0.0795714	1	4	0	16.6488
0.0796071	1	3	0	7.57379
0.0796429	1	2	0	33.4179
