% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
0.0205	1	0	7	7	2	1	1	1	2	15	1	0	0	172
0.0215	1	0	6	6	2	2	1	1	2	15	1	0	0	172
0.022	1	0	6	6	2	3	0	1	1	14	1	0	0	84
0.0255	1	0	1	1	2	6	1	1	2	15	1	0	0	172
0.0365	1	0	5	5	3	7	1	1	2	15	1	0	0	172
0.0365	1	0	2	2	3	7	1	3	3	15	1	0	0	260
0.0415	1	0	9	9	4	2	1	1	2	15	1	0	0	172
0.0435	1	0	8	8	4	4	1	1	2	15	1	0	0	172
0.0465	1	0	4	4	4	7	1	1	2	15	1	0	0	172
0.0645	1	0	3	3	6	5	1	1	3	15	1	0	0	260
0.0735	1	0	6	6	7	4	1	1	1	15	1	0	6	318
0.0755	1	0	1	1	7	6	1	1	1	15	1	0	26	1862
0.0765	1	0	10	10	7	7	1	1	2	15	1	0	0	172
0.0775	1	0	7	7	7	8	1	1	1	15	1	0	4	216
0.0935	1	0	5	5	9	4	1	1	1	15	1	0	6	318
0.0955	1	0	8	8	9	6	1	1	2	15	1	0	2	274
0.1005	1	0	9	9	10	1	1	1	3	15	1	0	0	260
0.1055	1	0	2	2	10	6	1	1	1	15	1	0	26	1862
0.1095	1	0	4	4	11	0	1	1	1	15	1	0	13	699
0.1105	1	0	3	3	11	1	1	1	1	15	1	0	8	428
0.1275	1	0	7	7	12	8	1	1	1	15	1	0	18	1006
0.1275	1	0	1	1	12	8	1	2	1	15	1	0	26	1862
0.133	1	0	6	6	13	4	0	1	1	15	1	0	6	318
0.1415	1	0	10	10	14	2	1	1	3	15	1	0	0	260
0.1525	1	0	8	8	15	3	1	1	2	15	1	0	2	274
0.1525	1	0	5	5	15	3	1	3	1	15	1	0	8	428
0.1605	1	0	2	2	16	1	1	1	1	15	1	0	26	1862
0.1635	1	0	9	9	16	4	1	1	1	15	1	0	6	318
0.1665	1	0	4	4	16	7	1	1	1	15	1	0	22	1423
0.172	1	0	3	3	17	3	0	1	1	15	1	0	20	1203
0.1875	1	0	6	6	18	8	1	1	1	15	1	0	8	428
0.1875	1	0	1	1	18	8	1	2	1	15	1	0	26	1862
0.1945	1	0	10	10	19	5	1	1	2	15	1	0	0	172
0.1985	1	0	7	7	19	9	1	1	1	15	1	0	15	874
0.2105	1	0	2	2	21	1	1	1	1	15	1	0	26	1862
0.2115	1	0	5	5	21	2	1	1	1	15	1	0	6	318
0.2235	1	0	9	9	22	4	1	1	1	15	1	0	11	538
0.2275	1	0	4	4	22	8	1	1	1	15	1	0	20	1203
0.2275	1	0	3	3	22	8	1	2	1	15	1	0	26	1862
0.233	1	0	8	8	23	4	0	1	1	15	1	0	4	216
0.2335	1	0	6	6	23	4	1	1	1	15	1	0	4	216
0.2455	1	0	1	1	24	6	1	1	1	15	1	0	26	1862
0.2525	1	0	10	10	25	3	1	1	2	15	1	0	0	172
0.2615	1	0	5	5	26	2	1	1	1	15	1	0	6	318
0.2665	1	0	2	2	26	7	1	1	1	15	1	0	26	1862
0.2775	1	0	7	7	27	8	1	1	1	15	1	0	15	874
0.2775	1	0	3	3	27	8	1	2	1	15	1	0	24	1642
0.2875	1	0	4	4	28	8	1	1	1	15	1	0	28	2037
0.2945	1	0	1	1	29	5	1	1	1	15	1	0	26	1862
0.2975	1	0	9	9	29	8	1	1	1	15	1	0	15	874
0.2995	1	0	10	10	30	0	1	1	2	15	1	0	0	172
