Time	CellId	RNTI	BWPId	SINR(dB)
0.0216071	1	7	0	5.11819
0.0226071	1	6	0	-3.62067
0.0230714	1	6	0	-4.0819
0.0254643	1	6	0	-4.16852
0.0259286	1	6	0	-4.74629
0.0266071	1	1	0	34.798
0.0376071	1	5	0	-0.83717
0.0377143	1	2	0	32.9461
0.0404643	1	5	0	-2.63831
0.0426071	1	9	0	1.16873
0.0446071	1	8	0	2.3398
0.0476071	1	4	0	13.6017
0.0656429	1	3	0	8.44417
0.0745714	1	6	0	-3.16745
0.0765714	1	1	0	34.4561
0.0773929	1	6	0	-3.87432
0.0776071	1	10	0	-9.68955
0.0785714	1	7	0	-0.372906
0.0804643	1	10	0	-8.21699
0.0814286	1	7	0	5.06106
0.0945714	1	5	0	-0.608106
0.0966071	1	8	0	1.93413
0.0974643	1	5	0	-1.38071
0.101643	1	9	0	-0.818658
0.104429	1	9	0	1.03065
0.106571	1	2	0	30.414
0.110571	1	4	0	8.63612
0.111571	1	3	0	8.24518
0.113429	1	4	0	7.29604
0.114464	1	3	0	7.9029
0.128571	1	7	0	1.44121
0.128607	1	1	0	34.7827
0.131464	1	7	0	0.107837
0.133929	1	7	0	1.32847
0.134071	1	6	0	-3.35327
0.136964	1	6	0	-4.5741
0.142643	1	10	0	-10.3275
0.145464	1	10	0	-7.92069
0.147964	1	10	0	-8.2048
0.153607	1	8	0	2.85615
0.153643	1	5	0	-1.48372
0.156464	1	5	0	-3.21537
0.161571	1	2	0	30.6118
0.164571	1	9	0	-3.64343
0.167464	1	9	0	-1.14056
0.167571	1	4	0	8.62921
0.170464	1	4	0	1.69052
0.172964	1	4	0	6.41972
0.173071	1	3	0	9.5432
0.175964	1	3	0	12.2028
0.188571	1	6	0	-4.55107
0.188607	1	1	0	34.7754
0.191464	1	6	0	-5.33564
0.195607	1	10	0	-9.71347
0.198429	1	10	0	-8.14999
0.199571	1	7	0	1.01659
0.202464	1	7	0	1.66009
0.211571	1	2	0	30.3923
0.212571	1	5	0	-1.78416
0.215429	1	5	0	-3.76223
0.224571	1	9	0	-0.926791
0.227393	1	9	0	2.92755
0.228571	1	4	0	11.9046
0.228607	1	3	0	9.82528
0.231429	1	3	0	9.80978
0.231429	1	4	0	-10.6686
0.233929	1	4	0	17.3553
0.234071	1	8	0	2.17855
0.234571	1	6	0	-4.3456
0.237429	1	6	0	-4.8844
0.246571	1	1	0	34.5814
0.253607	1	10	0	-8.48055
0.256464	1	10	0	-7.45803
0.262571	1	5	0	-2.09421
0.265464	1	5	0	-2.69013
0.267571	1	2	0	30.8734
0.278571	1	7	0	3.34346
0.278607	1	3	0	10.8724
0.281464	1	3	0	7.85377
0.281464	1	7	0	-1.55278
0.283964	1	3	0	10.104
0.283964	1	7	0	3.26949
0.288571	1	4	0	12.5412
0.291464	1	4	0	9.86112
0.293929	1	4	0	11.2379
0.295571	1	1	0	35.275
0.298571	1	9	0	2.43004
0.300607	1	10	0	-9.97535
0.300643	1	6	0	-3.8405
0.301464	1	9	0	6.60263
0.301607	1	8	0	-1.14093
0.303393	1	6	0	-8.41607
0.303393	1	10	0	-12.9255
0.304464	1	8	0	-2.29179
0.305929	1	10	0	-8.20278
0.319571	1	5	0	-1.6973
0.322464	1	5	0	-4.01106
0.328571	1	3	0	10.5346
0.331464	1	3	0	8.36456
0.332571	1	7	0	3.76434
0.333929	1	3	0	7.44873
0.335429	1	7	0	8.31111
0.346571	1	4	0	15.6671
0.348571	1	8	0	0.450446
0.348607	1	1	0	35.3754
0.349464	1	4	0	17.2858
0.351464	1	8	0	-2.11546
0.353571	1	2	0	30.5375
0.357607	1	6	0	-2.83745
0.360464	1	6	0	-3.99978
0.360571	1	9	0	3.45308
0.363429	1	9	0	3.89237
0.365964	1	9	0	6.96515
0.366071	1	5	0	-0.78915
0.366643	1	10	0	-8.4343
0.368964	1	5	0	-1.45242
0.369464	1	10	0	-6.31589
0.382571	1	3	0	9.8517
0.385464	1	3	0	5.35269
0.396571	1	7	0	2.34627
0.399464	1	7	0	8.96469
0.406571	1	8	0	0.331564
0.406607	1	6	0	-6.19205
0.408571	1	4	0	16.6401
0.408607	1	2	0	30.826
0.409464	1	6	0	-9.83853
0.409464	1	8	0	-4.54127
0.411429	1	4	0	13.2261
0.411964	1	6	0	-6.80892
